ds,demand_mw,temperature,is_weekend,month,dayofweek
2018-01-01,23538.35718350316,1.9493992630174775,0,1,0
2018-01-02,23583.84464628629,1.718977300908931,0,1,1
2018-01-03,22873.02746503554,2.6810812930966335,0,1,2
2018-01-04,23172.04380390591,2.1749589397427402,0,1,3
2018-01-05,22857.456916466163,2.7047976223226198,0,1,4
2018-01-06,22779.615662548455,2.431218872724831,1,1,5
2018-01-07,22203.06529628544,3.266214499139186,1,1,6
2018-01-08,23232.282613987252,2.8965241962036785,0,1,0
2018-01-09,22486.212461777457,3.706028560994509,0,1,1
2018-01-10,23238.62486104686,2.7682972727657806,0,1,2
2018-01-11,23090.15844430871,2.8286283671991854,0,1,3
2018-01-12,22933.17097269626,3.221988342364135,0,1,4
2018-01-13,22121.080271528113,3.6885162211049174,1,1,5
2018-01-14,21876.190495926377,4.040527892652576,1,1,6
2018-01-15,23201.136897682794,2.980403518118829,0,1,0
2018-01-16,22360.036601885833,4.183749963437911,0,1,1
2018-01-17,22459.252022020304,3.843995341312475,0,1,2
2018-01-18,22225.47407464398,4.436755133630115,0,1,3
2018-01-19,22683.01427815382,3.551623506464249,0,1,4
2018-01-20,21870.97843357282,4.45120152395379,1,1,5
2018-01-21,21945.27132966006,4.087962295212545,1,1,6
2018-01-22,23199.303363273928,3.5533013440627657,0,1,0
2018-01-23,22648.314363740476,4.04233203788607,0,1,1
2018-01-24,22479.269531986978,4.734277510679611,0,1,2
2018-01-25,21983.814838454055,5.202568869579151,0,1,3
2018-01-26,21163.820711449316,6.0560273145466015,0,1,4
2018-01-27,21964.26167000356,4.504495620167407,1,1,5
2018-01-28,21168.983173828205,5.612957465272401,1,1,6
2018-01-29,21734.223428919973,5.669802267178983,0,1,0
2018-01-30,21516.39149738696,5.650793093660055,0,1,1
2018-01-31,21769.834440249782,5.668698163605367,0,1,2
2018-02-01,21272.208969910604,6.351106473297982,0,2,3
2018-02-02,20860.054897533224,6.732672352487479,0,2,4
2018-02-03,20518.292966952176,6.5539342700778,1,2,5
2018-02-04,19942.052313054442,7.203701973367344,1,2,6
2018-02-05,20531.423026771892,7.4168912897533845,0,2,0
2018-02-06,20237.45345396856,7.940078357738767,0,2,1
2018-02-07,19658.957391174587,8.580059230313383,0,2,2
2018-02-08,20220.339785565415,7.682386158745629,0,2,3
2018-02-09,20241.970090652365,7.978799999739956,0,2,4
2018-02-10,19651.748097654377,7.806837023543394,1,2,5
2018-02-11,19175.12017041476,8.663480056080429,1,2,6
2018-02-12,19409.573364867083,9.157816104463063,0,2,0
2018-02-13,19331.124136343118,9.234867646924565,0,2,1
2018-02-14,19727.83540758223,8.639659719621752,0,2,2
2018-02-15,19186.727689982403,9.538306734363115,0,2,3
2018-02-16,18760.19641158512,10.278913806460727,0,2,4
2018-02-17,18372.099785878167,9.76422208174293,1,2,5
2018-02-18,18197.92762465974,10.583828408248406,1,2,6
2018-02-19,19070.294837798767,9.6030194839286,0,2,0
2018-02-20,18823.0717349647,10.358400681665575,0,2,1
2018-02-21,18370.139658550474,10.91700037066173,0,2,2
2018-02-22,18516.796368502164,10.863151230965522,0,2,3
2018-02-23,18410.44754962972,11.263734019943184,0,2,4
2018-02-24,17513.10564301374,11.510357840386114,1,2,5
2018-02-25,17415.95744219186,11.850160595674913,1,2,6
2018-02-26,18586.46637563745,10.844636908677074,0,2,0
2018-02-27,17912.01692027327,12.671769595079738,0,2,1
2018-02-28,17572.69252784171,13.074207153021085,0,2,2
2018-03-01,17507.6102745798,13.15046856684811,0,3,3
2018-03-02,17191.72224351721,13.605243826161356,0,3,4
2018-03-03,16647.051107489246,13.265259788501139,1,3,5
2018-03-04,16158.041834982801,14.595638055877197,1,3,6
2018-03-05,17123.252249421377,13.758975245915195,0,3,0
2018-03-06,17303.653487774314,13.999120764684037,0,3,1
2018-03-07,17212.474273683496,13.69296552352688,0,3,2
2018-03-08,17103.11879432045,14.20213542630267,0,3,3
2018-03-09,16718.609047534683,15.455886193830663,0,3,4
2018-03-10,16179.512192043645,15.845499581544244,1,3,5
2018-03-11,15993.524982117337,15.839816998097554,1,3,6
2018-03-12,16469.973548818085,16.009490987698268,0,3,0
2018-03-13,16296.951473505324,16.354685975062598,0,3,1
2018-03-14,16475.607141306937,16.47392465934578,0,3,2
2018-03-15,16214.237561349495,17.05573578673246,0,3,3
2018-03-16,16294.280591094886,16.14892274135414,0,3,4
2018-03-17,15759.973400038938,16.319282605000975,1,3,5
2018-03-18,15477.145413179109,17.251866285763708,1,3,6
2018-03-19,16113.383593469885,17.993732939175732,0,3,0
2018-03-20,16154.066137236608,17.92587077467951,0,3,1
2018-03-21,16081.312077070916,18.336113299122214,0,3,2
